Contest_ID	Pref_Voter_ID	Serial Number	Tally_Type	Precinct_ID	Vote_Rank	CandidateID	Over-Vote	Under_Vote	Vote Rank2	CandID2	OverVote	UnderVote	VoteRank3	CandID3	OverVote	UnderVote
85	77721	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77722	142	1	142	1	436	0	0	2	435	0	0	3	0	0	1
85	77723	142	1	142	1	433	0	0	2	437	0	0	3	434	0	0
85	77724	142	1	142	1	433	0	0	2	437	0	0	3	0	0	1
85	77725	142	1	142	1	436	0	0	2	0	0	1	3	0	0	1
85	77726	142	1	142	1	433	0	0	2	436	0	0	3	437	0	0
85	77727	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77728	142	1	142	1	435	0	0	2	433	0	0	3	0	0	1
85	77729	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77730	142	1	142	1	433	0	0	2	437	0	0	3	435	0	0
85	77731	142	1	142	1	435	0	0	2	437	0	0	3	433	0	0
85	77732	142	1	142	1	433	0	0	2	435	0	0	3	436	0	0
85	77733	142	1	142	1	433	0	0	2	435	0	0	3	436	0	0
85	77734	142	1	142	1	437	0	0	2	435	0	0	3	433	0	0
85	77735	142	1	142	1	433	0	0	2	435	0	0	3	436	0	0
85	77736	142	1	142	1	435	0	0	2	437	0	0	3	433	0	0
85	77737	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77738	142	1	142	1	437	0	0	2	435	0	0	3	433	0	0
85	77739	142	1	142	1	435	0	0	2	436	0	0	3	433	0	0
85	77740	142	1	142	1	437	0	0	2	433	0	0	3	0	0	1
85	77741	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77742	142	1	142	1	437	0	0	2	433	0	0	3	0	0	1
85	77743	142	1	142	1	437	0	0	2	436	0	0	3	435	0	0
85	77744	142	1	142	1	436	0	0	2	433	0	0	3	435	0	0
85	77745	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77746	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77747	142	1	142	1	435	0	0	2	436	0	0	3	433	0	0
85	77748	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77749	142	1	142	1	436	0	0	2	433	0	0	3	435	0	0
85	77750	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77751	142	1	142	1	433	0	0	2	435	0	0	3	0	0	1
85	77752	142	1	142	1	436	0	0	2	437	0	0	3	433	0	0
85	77753	142	1	142	1	435	0	0	2	436	0	0	3	433	0	0
85	77754	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77755	142	1	142	1	437	0	0	2	433	0	0	3	435	0	0
85	77756	142	1	142	1	436	0	0	2	437	0	0	3	0	0	1
85	77757	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77758	142	1	142	1	435	0	0	2	433	0	0	3	436	0	0
85	77759	142	1	142	1	433	0	0	2	436	0	0	3	435	0	0
85	77760	142	1	142	1	433	0	0	2	435	0	0	3	436	0	0
85	77761	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77762	142	1	142	1	437	0	0	2	433	0	0	3	0	0	1
85	77763	142	1	142	1	433	0	0	2	436	0	0	3	437	0	0
85	77764	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77765	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77766	142	1	142	1	436	0	0	2	435	0	0	3	436	0	0
85	77767	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77768	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77769	142	1	142	1	435	0	0	2	433	0	0	3	0	0	1
85	77770	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77771	142	1	142	1	435	0	0	2	436	0	0	3	433	0	0
85	77772	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77773	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77774	142	1	142	1	435	0	0	2	433	0	0	3	437	0	0
85	77775	142	1	142	1	436	0	0	2	436	0	0	3	433	0	0
85	77776	142	1	142	1	433	0	0	2	436	0	0	3	0	0	1
85	77777	142	1	142	1	435	0	0	2	0	0	1	3	0	0	1
85	77778	142	1	142	1	435	0	0	2	435	0	0	3	435	0	0
85	77779	142	1	142	1	433	0	0	2	436	0	0	3	435	0	0
85	77780	142	1	142	1	433	0	0	2	436	0	0	3	437	0	0
85	77781	142	1	142	1	435	0	0	2	437	0	0	3	434	0	0
85	77782	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77783	142	1	142	1	433	0	0	2	434	0	0	3	436	0	0
85	77784	142	1	142	1	433	0	0	2	436	0	0	3	435	0	0
85	77785	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77786	142	1	142	1	433	0	0	2	437	0	0	3	435	0	0
85	77787	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77788	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77789	142	1	142	1	436	0	0	2	436	0	0	3	436	0	0
85	77790	142	1	142	1	435	0	0	2	437	0	0	3	433	0	0
85	77791	142	1	142	1	433	0	0	2	0	0	1	3	0	0	1
85	77792	142	1	142	1	433	0	0	2	435	0	0	3	436	0	0
85	77793	142	1	142	1	433	0	0	2	437	0	0	3	436	0	0
85	77794	142	1	142	1	433	0	0	2	435	0	0	3	435	0	0
85	77795	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77796	142	1	142	1	435	0	0	2	433	0	0	3	0	0	1
85	77797	142	1	142	1	435	0	0	2	0	0	1	3	0	0	1
85	77798	142	1	142	1	433	0	0	2	436	0	0	3	437	0	0
85	77799	142	1	142	1	435	0	0	2	437	0	0	3	433	0	0
85	77800	142	1	142	1	436	0	0	2	434	0	0	3	437	0	0
85	77801	142	1	142	1	433	0	0	2	436	0	0	3	435	0	0
85	77802	142	1	142	1	437	0	0	2	0	0	1	3	0	0	1
85	77803	142	1	142	1	437	0	0	2	0	0	1	3	0	0	1
85	77804	142	1	142	1	437	0	0	2	435	0	0	3	433	0	0
85	77805	142	1	142	1	433	0	0	2	436	0	0	3	437	0	0
85	77806	142	1	142	1	435	0	0	2	437	0	0	3	433	0	0
85	77807	142	1	142	1	433	0	0	2	436	0	0	3	437	0	0
85	77808	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77809	142	1	142	1	437	0	0	2	433	0	0	3	434	0	0
85	77810	142	1	142	1	435	0	0	2	0	0	1	3	0	0	1
85	77811	142	1	142	1	433	0	0	2	437	0	0	3	0	0	1
85	77812	142	1	142	1	0	0	1	2	0	0	1	3	0	0	1
85	77813	142	1	142	1	433	0	0	2	433	0	0	3	433	0	0
85	77814	142	1	142	1	435	0	0	2	433	0	0	3	436	0	0
85	77815	142	1	142	1	435	0	0	2	435	0	0	3	434	0	0
85	79644	254	1	254	1	433	0	0	2	437	0	0	3	436	0	0
85	79645	254	1	254	1	433	0	0	2	433	0	0	3	433	0	0
85	79646	254	1	254	1	0	0	1	2	0	0	1	3	0	0	1
85	79647	254	1	254	1	436	0	0	2	434	0	0	3	433	0	0
85	79648	254	1	254	1	435	0	0	2	436	0	0	3	437	0	0
85	79649	254	1	254	1	433	0	0	2	435	0	0	3	0	0	1
85	79650	254	1	254	1	433	0	0	2	433	0	0	3	433	0	0
85	79651	254	1	254	1	433	0	0	2	437	0	0	3	436	0	0
85	79652	254	1	254	1	437	0	0	2	437	0	0	3	437	0	0
85	79653	254	1	254	1	435	0	0	2	433	0	0	3	437	0	0
85	79654	254	1	254	1	0	0	1	2	0	0	1	3	0	0	1
85	79655	254	1	254	1	437	0	0	2	436	0	0	3	433	0	0
85	79656	254	1	254	1	0	0	1	2	0	0	1	3	0	0	1
85	79657	254	1	254	1	437	0	0	2	437	0	0	3	437	0	0
85	79658	254	1	254	1	435	0	0	2	436	0	0	3	437	0	0
85	79659	254	1	254	1	436	0	0	2	435	0	0	3	433	0	0
85	79660	254	1	254	1	433	0	0	2	435	0	0	3	437	0	0
85	79661	254	1	254	1	435	0	0	2	437	0	0	3	436	0	0
85	79662	254	1	254	1	435	0	0	2	436	0	0	3	433	0	0
85	79663	254	1	254	1	0	0	1	2	0	0	1	3	0	0	1
85	79664	254	1	254	1	0	0	1	2	0	0	1	3	0	0	1
85	79665	254	1	254	1	0	0	1	2	0	0	1	3	0	0	1
85	79666	254	1	254	1	0	0	1	2	0	0	1	3	0	0	1
85	79667	254	1	254	1	437	0	0	2	437	0	0	3	437	0	0
85	79668	254	1	254	1	433	0	0	2	437	0	0	3	0	0	1
85	79669	254	1	254	1	437	0	0	2	436	0	0	3	433	0	0
85	79670	254	1	254	1	433	0	0	2	437	0	0	3	0	0	1
85	79671	254	1	254	1	433	0	0	2	435	0	0	3	436	0	0
85	79672	254	1	254	1	435	0	0	2	0	0	1	3	0	0	1
85	79673	254	1	254	1	433	0	0	2	437	0	0	3	0	0	1
85	79674	254	1	254	1	437	0	0	2	435	0	0	3	436	0	0
85	79675	254	1	254	1	433	0	0	2	435	0	0	3	436	0	0
85	79676	254	1	254	1	433	0	0	2	435	0	0	3	437	0	0
85	79677	254	1	254	1	437	0	0	2	0	0	1	3	0	0	1
85	79678	254	1	254	1	433	0	0	2	0	0	1	3	0	0	1
85	79679	254	1	254	1	435	0	0	2	0	0	1	3	0	0	1
85	79680	254	1	254	1	435	0	0	2	436	0	0	3	433	0	0
